DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2021-09-30                00:24:57.407              271.97566444              6527.415947               272.97566444              1632954297.408            4                         963                       1.4000398786E+02          4.4999382019E+01          3.6272094431E+01          4.5246116638E+01          4.4998924255E+01          4.7000000000E+01          0.0000000000E+00          2.9208652911E+04          8.0000000000E+00          3.2536373037E-01          2.9350621277E-01          2.9668793896E-01          2.6789400115E-01          3.5263558109E-01          3.1825316106E-01          3.2201668482E-01          2.9101305120E-01          3.7201981377E+02          1.9344434870E+00          2.0507786222E+00          4.4798893408E+00          8.1650636281E+01          0.0000000000E+00          7.2550707396E-01          5.9054656178E+01          4.9977040532E+00          2.4524376940E+02          4.2124271337E+02          8.2076045915E+01          
2021-09-30                00:24:58.221              271.97567387              6527.416173               272.97567387              1632954298.222            4                         963                       1.4000398786E+02          4.4999382019E+01          3.6272094431E+01          4.5246116638E+01          4.4998924255E+01          4.7000000000E+01          0.0000000000E+00          2.9208652911E+04          8.0000000000E+00          3.2528996102E-01          2.9411087364E-01          2.9708518927E-01          2.6816668574E-01          3.5246822930E-01          3.1890877223E-01          3.2243962294E-01          2.9130794126E-01          3.7201950042E+02          1.9346746580E+00          2.0506553680E+00          4.4664558632E+00          8.1575446217E+01          0.0000000000E+00          7.2550707396E-01          5.9054656178E+01          4.9977040532E+00          2.4524376940E+02          4.2124271337E+02          8.2076045915E+01          
2021-09-30                00:24:58.857              271.97568122              6527.416349               272.97568122              1632954298.857            4                         963                       1.3999710083E+02          4.4999382019E+01          3.6312500000E+01          4.5246116638E+01          4.4998924255E+01          2.0000000000E+00          0.0000000000E+00          2.9207318359E+04          8.0000000000E+00          3.3657893156E-01          2.9503348309E-01          2.9775806146E-01          2.6847125247E-01          3.6463333459E-01          3.1991368550E-01          3.2315153328E-01          2.9163742021E-01          3.7602527432E+02          1.9348550844E+00          2.0505594820E+00          4.4559816490E+00          8.1516714735E+01          0.0000000000E+00          7.2550707396E-01          5.9054656178E+01          4.9977040532E+00          2.4059464760E+02          4.2124271337E+02          8.1536329960E+01          
2021-09-30                00:24:59.635              271.97569023              6527.416566               272.97569023              1632954299.636            4                         963                       1.4000726318E+02          4.4999382019E+01          3.6250000000E+01          4.5246055603E+01          4.4998954773E+01          4.6000000000E+01          0.0000000000E+00          2.9213400391E+04          8.0000000000E+00          3.5044508264E-01          2.9683506356E-01          2.9862319137E-01          2.6873709066E-01          3.7959231030E-01          3.2187359031E-01          3.2407105654E-01          2.9192485810E-01          3.8093957698E+02          1.9350764362E+00          2.0505319880E+00          4.4464197545E+00          8.1473104569E+01          0.0000000000E+00          7.2550707396E-01          5.9022567008E+01          4.9977040532E+00          2.4059464760E+02          4.2124271337E+02          8.1536329960E+01          
2021-09-30                00:25:00.792              271.97570361              6527.416887               272.97570361              1632954300.792            4                         963                       1.4000281146E+02          4.4999382019E+01          3.6293734867E+01          4.5246055603E+01          4.4998954773E+01          4.7000000000E+01          0.0000000000E+00          2.9215483179E+04          8.0000000000E+00          3.7102366725E-01          2.9979056092E-01          2.9950505305E-01          2.6895884835E-01          4.0178296367E-01          3.2507658786E-01          3.2499627981E-01          2.9216394019E-01          3.8823217167E+02          1.9354047817E+00          2.0504909602E+00          4.4322268362E+00          8.1408387740E+01          0.0000000000E+00          8.2905940565E-01          5.9022567008E+01          5.4250818906E+00          2.4059464760E+02          4.2124271337E+02          8.1536329960E+01          
2021-09-30                00:25:01.609              271.97571308              6527.417114               272.97571308              1632954301.610            4                         963                       1.4000281146E+02          4.4999382019E+01          3.6293734867E+01          4.5246055603E+01          4.4998954773E+01          4.7000000000E+01          0.0000000000E+00          2.9215483179E+04          8.0000000000E+00          3.7096881968E-01          3.0365034828E-01          3.0049760537E-01          2.6901890265E-01          4.0164917060E-01          3.2925187709E-01          3.2606090329E-01          2.9222702256E-01          3.8823199395E+02          1.9356370068E+00          2.0504619481E+00          4.4221887938E+00          8.1362691006E+01          0.0000000000E+00          8.2905940565E-01          5.9022567008E+01          5.4250818906E+00          2.4059464760E+02          4.2124271337E+02          8.1536329960E+01          
2021-09-30                00:25:02.155              271.97571940              6527.417266               272.97571940              1632954302.156            4                         963                       1.4000070190E+02          4.4999382019E+01          3.6250000000E+01          4.5246055603E+01          4.4998954773E+01          2.5000000000E+01          0.0000000000E+00          2.9219039062E+04          8.0000000000E+00          3.5581399697E-01          3.0708595660E-01          3.0089981672E-01          2.6903646348E-01          3.8518944115E-01          3.3296290147E-01          3.2647400592E-01          2.9224366699E-01          3.7371307434E+02          1.9357918926E+00          2.0504425212E+00          4.4154908976E+00          8.1332290328E+01          0.0000000000E+00          8.2905940565E-01          5.9022567008E+01          5.4250818906E+00          2.4059464760E+02          4.2160907541E+02          8.1536329960E+01          
2021-09-30                00:25:03.305              271.97573271              6527.417585               272.97573271              1632954303.306            4                         963                       1.3999434531E+02          4.4999382019E+01          3.6305992736E+01          4.5246055603E+01          4.4998954773E+01          4.7000000000E+01          0.0000000000E+00          2.9214287379E+04          8.0000000000E+00          3.2389468653E-01          3.0936104549E-01          3.0056819784E-01          2.6904840337E-01          3.5053508975E-01          3.3541213467E-01          3.2607948812E-01          2.9225403710E-01          3.4313296414E+02          1.9355637044E+00          2.0498146357E+00          4.4013897066E+00          8.1268263949E+01          0.0000000000E+00          7.3039571229E-01          5.9022567008E+01          5.2448641182E+00          2.4059464760E+02          4.2160907541E+02          8.1536329960E+01          
2021-09-30                00:25:04.111              271.97574203              6527.417809               272.97574203              1632954304.111            4                         963                       1.3999434531E+02          4.4999382019E+01          3.6305992736E+01          4.5246055603E+01          4.4998954773E+01          4.7000000000E+01          0.0000000000E+00          2.9214287379E+04          8.0000000000E+00          3.2384080893E-01          3.1097692352E-01          3.0082338665E-01          2.6927454897E-01          3.5041303604E-01          3.3713875258E-01          3.2633284991E-01          2.9249646641E-01          3.4313281159E+02          1.9354041499E+00          2.0493755757E+00          4.3915238450E+00          8.1223296494E+01          0.0000000000E+00          7.3039571229E-01          5.9022567008E+01          5.2448641182E+00          2.4059464760E+02          4.2160907541E+02          8.1536329960E+01          
2021-09-30                00:25:04.709              271.97574895              6527.417975               272.97574895              1632954304.709            4                         963                       1.3999286615E+02          4.4999359653E+01          3.6289597603E+01          4.5246133883E+01          4.4998977139E+01          2.0000000000E+00          0.0000000000E+00          2.9203159293E+04          8.0000000000E+00          3.0180542853E-01          3.1197760475E-01          3.0083702612E-01          2.6943898684E-01          3.2651894016E-01          3.3819424750E-01          3.2633543449E-01          2.9267178727E-01          3.5419879073E+02          1.9352854488E+00          2.0490493751E+00          4.3841975174E+00          8.1190039122E+01          0.0000000000E+00          7.3039571229E-01          5.9022567008E+01          5.2448641182E+00          2.3712819028E+02          4.2160907541E+02          8.1209430008E+01          
